scheme_id,fiscal_year,revised_allocation_total,revised_allocation_fpa,estimated_expenditure,throw_forward,allocation_capital,allocation_revenue,allocation_total,allocation_fpa,financial_progress_pct_prior_year,financial_progress_pct_current_year
318,2026-2027,35.000,0.000,104.978,194.912,5.000,0.000,5.000,0.000,35.0,36.7
319,2026-2027,30.000,0.000,171.952,222.808,10.000,0.000,10.000,0.000,43.6,46.1
320,2026-2027,15.000,0.000,65.000,95.000,5.000,0.000,5.000,0.000,40.6,43.8
321,2026-2027,15.000,0.000,58.065,97.263,5.000,0.000,5.000,0.000,37.4,40.6
322,2026-2027,25.000,0.000,121.000,178.995,5.000,0.000,5.000,0.000,40.3,42.0
323,2026-2027,15.000,0.000,92.988,146.952,5.000,0.000,5.000,0.000,38.8,40.8
324,2026-2027,15.000,0.000,72.413,82.876,10.000,0.000,10.000,0.000,46.6,53.1
325,2026-2027,18.750,0.000,86.110,93.515,10.000,0.000,10.000,0.000,47.9,53.5
326,2026-2027,30.000,0.000,97.270,97.128,5.000,0.000,5.000,0.000,50.0,52.6
327,2026-2027,25.000,0.000,92.896,106.586,5.000,0.000,5.000,0.000,46.6,49.1
328,2026-2027,20.000,0.000,82.366,19.866,7.094,0.000,7.094,0.000,80.6,87.5
329,2026-2027,30.000,0.000,93.744,104.503,10.000,0.000,10.000,0.000,47.3,52.3
330,2026-2027,18.750,0.000,63.750,26.222,17.542,0.000,17.542,0.000,70.9,90.4
331,2026-2027,14.943,0.000,46.389,12.753,0.001,0.000,0.001,0.000,78.4,78.4
332,2026-2027,15.000,0.000,38.000,19.218,19.218,0.000,19.218,0.000,66.4,100.0
333,2026-2027,15.000,0.000,46.970,112.884,10.000,0.000,10.000,0.000,29.4,35.6
334,2026-2027,0.000,0.000,45.878,9.041,9.041,0.000,9.041,0.000,83.5,100.0
335,2026-2027,0.000,0.000,34.497,0.001,0.001,0.000,0.001,0.000,100.0,100.0
336,2026-2027,25.000,0.000,50.764,35.115,35.115,0.000,35.115,0.000,59.1,100.0
337,2026-2027,22.000,0.000,44.830,31.275,31.275,0.000,31.275,0.000,58.9,100.0
338,2026-2027,30.000,0.000,53.375,24.543,24.543,0.000,24.543,0.000,68.5,100.0
339,2026-2027,20.000,0.000,39.023,24.388,24.388,0.000,24.388,0.000,61.5,100.0
340,2026-2027,26.250,0.000,49.750,57.729,5.000,0.000,5.000,0.000,46.3,50.9
341,2026-2027,25.000,0.000,43.618,18.442,18.442,0.000,18.442,0.000,70.3,100.0
342,2026-2027,25.000,0.000,43.623,18.454,18.454,0.000,18.454,0.000,70.3,100.0
343,2026-2027,25.000,0.000,43.798,18.862,18.862,0.000,18.862,0.000,69.9,100.0
344,2026-2027,25.000,0.000,43.365,17.851,17.851,0.000,17.851,0.000,70.8,100.0
345,2026-2027,25.000,0.000,48.830,30.601,30.601,0.000,30.601,0.000,61.5,100.0
346,2026-2027,25.000,0.000,48.112,28.928,28.928,0.000,28.928,0.000,62.5,100.0
347,2026-2027,20.000,0.000,47.796,44.858,44.858,0.000,44.858,0.000,51.6,100.0
348,2026-2027,20.000,0.000,43.440,34.693,34.693,0.000,34.693,0.000,55.6,100.0
349,2026-2027,10.000,0.000,48.372,79.535,5.000,0.000,5.000,0.000,37.8,41.7
350,2026-2027,25.000,0.000,48.595,30.055,30.055,0.000,30.055,0.000,61.8,100.0
351,2026-2027,15.000,0.000,37.483,37.461,37.461,0.000,37.461,0.000,50.0,100.0
352,2026-2027,25.000,0.000,48.330,29.441,29.441,0.000,29.441,0.000,62.1,100.0
353,2026-2027,10.000,0.000,28.770,33.795,33.795,0.000,33.795,0.000,46.0,100.0
354,2026-2027,15.000,0.000,33.628,28.467,28.467,0.000,28.467,0.000,54.2,100.0
355,2026-2027,20.000,0.000,48.707,46.985,46.985,0.000,46.985,0.000,50.9,100.0
356,2026-2027,18.750,0.000,37.040,83.363,10.000,0.000,10.000,0.000,30.8,39.1
357,2026-2027,15.000,0.000,33.587,81.906,10.000,0.000,10.000,0.000,29.1,37.7
358,2026-2027,18.750,0.000,37.502,79.047,5.000,0.000,5.000,0.000,32.2,36.5
359,2026-2027,25.000,0.000,43.750,79.870,10.000,0.000,10.000,0.000,35.4,43.5
360,2026-2027,25.000,0.000,44.000,19.316,19.316,0.000,19.316,0.000,69.5,100.0
361,2026-2027,15.000,0.000,37.720,94.346,5.000,0.000,5.000,0.000,28.6,32.3
362,2026-2027,18.750,0.000,37.152,77.495,10.000,0.000,10.000,0.000,32.4,41.1
363,2026-2027,20.000,0.000,43.373,34.536,34.536,0.000,34.536,0.000,55.7,100.0
364,2026-2027,20.000,0.000,43.711,35.326,35.326,0.000,35.326,0.000,55.3,100.0
365,2026-2027,14.000,0.000,37.473,40.770,40.770,0.000,40.770,0.000,47.9,100.0
366,2026-2027,25.000,0.000,43.736,18.719,18.719,0.000,18.719,0.000,70.0,100.0
367,2026-2027,25.000,0.000,48.547,29.943,29.943,0.000,29.943,0.000,61.9,100.0
368,2026-2027,18.750,0.000,42.450,56.648,5.000,0.000,5.000,0.000,42.8,47.9
369,2026-2027,25.000,0.000,48.132,28.974,28.974,0.000,28.974,0.000,62.4,100.0
370,2026-2027,20.000,0.000,38.748,23.745,23.745,0.000,23.745,0.000,62.0,100.0
371,2026-2027,20.000,0.000,43.418,34.644,34.644,0.000,34.644,0.000,55.6,100.0
372,2026-2027,20.000,0.000,42.838,33.288,33.288,0.000,33.288,0.000,56.3,100.0
373,2026-2027,20.000,0.000,57.860,18.335,18.335,0.000,18.335,0.000,75.9,100.0
374,2026-2027,20.000,0.000,43.447,34.711,34.711,0.000,34.711,0.000,55.6,100.0
375,2026-2027,20.000,0.000,47.950,45.214,45.214,0.000,45.214,0.000,51.5,100.0
376,2026-2027,15.000,0.000,38.420,39.643,39.643,0.000,39.643,0.000,49.2,100.0
377,2026-2027,20.000,0.000,49.900,99.595,5.000,0.000,5.000,0.000,33.4,36.7
378,2026-2027,20.000,0.000,43.638,35.154,35.154,0.000,35.154,0.000,55.4,100.0
379,2026-2027,20.000,0.000,42.530,32.571,32.571,0.000,32.571,0.000,56.6,100.0
380,2026-2027,37.242,0.000,53.202,17.897,17.897,0.000,17.897,0.000,74.8,100.0
381,2026-2027,15.000,0.000,33.653,45.770,45.770,0.000,45.770,0.000,42.4,100.0
382,2026-2027,20.000,0.000,38.650,23.518,23.518,0.000,23.518,0.000,62.2,100.0
383,2026-2027,20.000,0.000,43.800,35.525,35.525,0.000,35.525,0.000,55.2,100.0
384,2026-2027,30.000,0.000,48.400,100.067,10.000,0.000,10.000,0.000,32.6,39.3
385,2026-2027,44.025,0.000,62.893,29.270,29.270,0.000,29.270,0.000,68.2,100.0
386,2026-2027,35.000,0.000,54.033,77.128,10.000,0.000,10.000,0.000,41.2,48.8
387,2026-2027,26.250,0.000,49.978,90.556,7.500,0.000,7.500,0.000,35.6,40.9
388,2026-2027,18.750,0.000,42.169,109.292,5.000,0.000,5.000,0.000,27.8,31.1
389,2026-2027,18.750,0.000,37.278,78.754,10.000,0.000,10.000,0.000,32.1,40.7
390,2026-2027,15.000,0.000,42.260,48.606,48.606,0.000,48.606,0.000,46.5,100.0
391,2026-2027,59.606,612.950,65.303,77.107,15.500,61.607,77.107,113.650,45.9,100.0
392,2026-2027,0.000,0.000,17.037,1087.412,5.000,0.000,5.000,0.000,1.5,2.0
393,2026-2027,31.718,0.000,85.881,410.795,80.000,0.000,80.000,0.000,17.3,33.4
394,2026-2027,18.750,0.000,75.000,123.469,7.500,0.000,7.500,0.000,37.8,41.6
395,2026-2027,0.000,0.000,259.656,0.001,0.001,0.000,0.001,0.000,100.0,100.0
396,2026-2027,25.000,0.000,159.731,43.566,5.000,0.000,5.000,0.000,78.6,81.0
397,2026-2027,25.000,0.000,160.000,125.339,5.000,0.000,5.000,0.000,56.1,57.8
398,2026-2027,25.000,0.000,98.000,99.520,5.000,0.000,5.000,0.000,49.6,52.1
399,2026-2027,25.000,0.000,259.225,140.746,5.000,0.000,5.000,0.000,64.8,66.1
400,2026-2027,25.034,0.000,69.958,62.052,15.000,0.000,15.000,0.000,53.0,64.4
401,2026-2027,0.000,0.000,47.821,6.503,0.001,0.000,0.001,0.000,88.0,88.0
402,2026-2027,43.740,0.000,260.673,43.740,5.000,0.000,5.000,0.000,85.6,87.3
403,2026-2027,15.000,0.000,51.350,8.644,8.644,0.000,8.644,0.000,85.6,100.0
404,2026-2027,18.750,0.000,56.000,41.712,41.712,0.000,41.712,0.000,57.3,100.0
405,2026-2027,25.000,0.000,97.418,24.918,17.418,0.000,17.418,0.000,79.6,93.9
406,2026-2027,20.000,0.000,68.750,25.881,25.881,0.000,25.881,0.000,72.7,100.0
407,2026-2027,274.000,0.000,1913.000,1072.500,40.000,60.000,100.000,0.000,64.1,67.4
408,2026-2027,36.461,1145.180,81.341,166.932,9.500,157.432,166.932,7.250,32.8,100.0
409,2026-2027,6.250,0.000,69.231,236.384,7.500,0.000,7.500,0.000,22.7,25.1
410,2026-2027,18.750,0.000,77.298,95.567,5.000,0.000,5.000,0.000,44.7,47.6
411,2026-2027,30.932,0.000,30.932,64.269,5.000,0.000,5.000,0.000,32.5,37.7
412,2026-2027,25.000,0.000,48.243,127.156,5.000,0.000,5.000,0.000,27.5,30.4
